word|count
หมวกกำมะหยี่ของผู้หญิงที่ม้วนขอบเข้ามาเล็กน้อย|0
การประติบัติเยี่ยงชาติที่ได้รับอนุเคราะห์ยิ่ง|0
คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ|202
ความเสี่ยงจากอัตราแลกเปลี่ยนเงินตราต่างประเทศ|0
ระบอบประชาธิปไตยอันมีพระมหากษัตริย์เป็นประมุข|17
วันเฉลิมพระชนมพรรษาพระบาทสมเด็จพระเจ้าอยู่หัว|10
องค์การเพื่อความร่วมมือทางเศรษฐกิจและการพัฒนา|61
การเตรียมฝึกประสบการณ์วิชาชีพทางด้านวัฒนธรรม|0
การแบ่งส่วนตลาดตามพฤติกรรมการบริโภคผลิตภัณฑ์|0
ความตกลงว่าด้วยการค้าสินค้าเทคโนโลยีสารสนเทศ|0
ความสัมพันธ์ทางเศรษฐกิจระหว่างไทยกับสิงคโปร์|0
พิพิธภัณฑสถานจังหวัดกำแพงเพชรเฉลิมพระเกียรติ|1
มหาวิทยาลัยเทคโนโลยีและการออกแบบแห่งสิงคโปร์|0
สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ|225
เขตบริหารพิเศษฮ่องกงแห่งสาธารณรัฐประชาชนจีน|11
มูลนิธิมวลมหาประชาชนเพื่อการปฏิรูปประเทศไทย|8
ลัทธิว่าไม่เชื่อเรื่องพระเจ้าเพราะไม่มีเห็น|0
สถาบันส่งเสริมการสอนวิทยาศาสตร์และเทคโนโลยี|95
สำนักงานส่งเสริมอุตสาหกรรมซอฟต์แวร์แห่งชาติ|59
เกี่ยวกับลัทธิเชื่อว่ามีพระเจ้าอยู่ทุกแห่ง|0
โครงการความร่วมมือด้านอุตสาหกรรมของอาเซียน|0
กระทรวงการพัฒนาสังคมและความมั่นคงของมนุษย์|441
การประชุมกลุ่มความร่วมมือทางเศรษฐกิจเอเชีย|0
ข้อกำหนดว่าด้วยชาติที่ได้รับอนุเคราะห์ยิ่ง|0
ธนาคารเพื่อการส่งออกและนำเข้าแห่งประเทศไทย|38
ลักษณะของเสียงร้องหรือเสียงจากเครื่องดนตรี|0
ศาลทรัพย์สินทางปัญญาและการค้าระหว่างประเทศ|36
เกาะเซาท์จอร์เจียและหมู่เกาะเซาท์แซนด์วิช|91
แนวร่วมประชาธิปไตยต่อต้านเผด็จการแห่งชาติ|658
กระทรวงวิทยาศาสตร์เทคโนโลยีและสิ่งแวดล้อม|19
กองทุนฉุกเฉินสงเคราะห์เด็กแห่งสหประชาชาติ|0
การควบคุมอัตราแลกเปลี่ยนเงินตราต่างประเทศ|0
การดำเนินการหาเสียงให้ผู้มัครรับเลือกตั้ง|0
การปกครองโดยถือพระเจ้าเป็นผู้ปกครองสูงสุด|0
การประชุมเจ้าหน้าที่อาวุโสเศรษฐกิจอาเซียน|0
ความตกลงทั่วไปว่าด้วยภาษีศุลกากรและการค้า|20
ค่าสูงสุดและค่าต่ำสุดของฟังก์ชันสองตัวแปร|0
ดินทรายซึ่งถูกน้ำพัดพามาจมที่สองฟากแม่น้ำ|0
สำนักงานกองทุนสนับสนุนการสร้างเสริมสุขภาพ|104
องค์การความร่วมมือระหว่างประเทศของญี่ปุ่น|2
เลขาธิการอาเซียนและสำนักเลขาธิการอาเซียน|0
โรงแรมที่มีมาตรฐานการบริการระดับนานาชาติ|0
การถอดอักษรไทยเป็นอักษรโรมันแบบถ่ายเสียง|36
การทุบหรือตีหรือต่อยที่ทำให้เกิดเสียงดัง|0
คณะกรรมาธิการสิทธิมนุษยชนแห่งสหประชาชาติ|0
ดัชนีราคาหุ้นตลาดหลักทรัพย์แห่งประเทศไทย|8
ธนาคารระหว่างประเทศเพื่อการบูรณะและพัฒนา|1
ปฏิกิริยานิวเคลียร์ที่ทำให้เกิดการระเบิด|0
พิพิธภัณฑ์ผ้าในสมเด็จพระนางเจ้าสิริกิติ์|0
พืชไม้ดอกขนาดใหญ่มีรูปคล้ายถ้วยหรือระฆัง|0
สถานคุ้มครองและพัฒนาอาชีพบ้านเกร็ดตระการ|0
สมาคมประชาชาติแห่งเอเชียตะวันออกเฉียงใต้|225
องค์กรพิทักษ์สิ่งแวดล้อมแห่งสหรัฐอเมริกา|0
เครือข่ายนักศึกษาประชาชนปฏิรูปประเทศไทย|36
การทดสอบทางการศึกษาระดับชาติขั้นพื้นฐาน|4
คนที่อยู่ในบริเวณที่ถูกปกครองโดยบาทหลวง|0
ความสัมพันธ์ระหว่างประเทศไทยกับสิงคโปร์|0
ความสัมพันธ์ระหว่างมนุษย์กับสิ่งแวดล้อม|0
ความหมายทางเรขาคณิตของฟังก์ชันสองตัวแปร|0
ตลาดแลกเปลี่ยนเงินตราต่างประเทศล่วงหน้า|0
พระบาทสมเด็จพระปรมินทรมหาภูมิพลอดุลยเดช|4352
มาตรการกีดกันทางการค้าที่ไม่ใช่ภาษีภาษี|0
สมาคมผู้สื่อข่าวต่างประเทศแห่งประเทศไทย|3
สมาคมพฤฒาวิทยาและเวชศาสตร์ผู้สูงอายุไทย|5
สำนักงานนโยบายและบริหารจัดการและอุทกภัย|0
เกี่ยวกับที่บรรจุเครื่องสักการะในโบสถ์|0
เยื่อหุ้มสมองอักเสบเฉียบพลันชนิดมีหนอง|0
เรขาคณิตนอกแบบยุคลิดของโบลไยโลบาเชฟสกี|0
การถ่ายจากพาหนะหนึ่งไปยังอีกพาหนะหนึ่ง|0
การวิเคราะห์เชิงฟังก์ชันและการประยุกต์|0
คณะกรรมการป้องกันและปราบปรามการฟอกเงิน|33
คณะกรรมการระหว่างประเทศด้านสมุทรศาสตร์|0
ทฤษฎีการเรียนรู้จากการคิดอย่างมีเหตุผล|0
บรรษัทประกันสินเชื่ออุตสาหกรรมขนาดย่อม|18
ประเทศที่มีนักท่องเที่ยวมากที่สุดในโลก|3
พระราชพิธีพืชมงคลจรดพระนังคัลแรกนาขวัญ|17
วัดพระเชตุพนวิมลมังคลารามราชวรมหาวิหาร|161
วัดมหาธาตุยุวราชรังสฤษฎิ์ราชวรมหาวิหาร|148
วันคล้ายวันสวรรคตสมเด็จพระนเรศวรมหาราช|0
วันพระบาทสมเด็จพระนั่งเกล้าเจ้าอยู่หัว|0
สถานแสดงพันธุ์สัตว์น้ำจืดกรุงเทพมหานคร|8
สาธารณรัฐประชาธิปไตยเซาตูเมและปรินซิปี|13
องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย|28
องค์การอาหารและการเกษตรแห่งสหประชาชาติ|76
อัตราผลตอบแทนต่อส่วนของผู้ถือหุ้นสามัญ|0
กระทรวงเทคโนโลยีสารสนเทศและการสื่อสาร|356
กระทรวงทรัพยากรธรรมชาติและสิ่งแวดล้อม|519
ความผิดต่อร่างกายอันได้กระทำโดยประมาท|0
นำ้พุร้อนที่พุ่งขึ้นจากใต้ดินเป็นช่วง|0
ฟังก์ชันการแจกแจงความน่าจะเป็นแบบสะสม|0
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี|664
มาตรการริเริ่มพัฒนาตลาดพันธบัตรเอเชีย|0
รายชื่อรหัสไปรษณีย์ไทยเรียงตามจังหวัด|7
ศูนย์อำนวยการต่อต้านการทุจริตแห่งชาติ|5
สมการเชิงอนุพันธ์เชิงเส้นไม่เอกพันธุ์|0
สหพันธ์สาธารณรัฐประชาธิปไตยเอธิโอเปีย|11
สัญญาซื้อขายเงินตราต่างประเทศล่วงหน้า|0
สัมประสิทธิ์ของส่วนเบี่ยงเบนควอร์ไทล์|0
สาธารณรัฐสังคมนิยมประชาชนอาหรับลิเบีย|32
สาธารณรัฐสังคมนิยมประชาธิปไตยศรีลังกา|17
สำนักงานการปฏิรูปที่ดินเพื่อเกษตรกรรม|8
สำนักงานคณะกรรมการการศึกษาขั้นพื้นฐาน|1146
หอศิลป์และพิพิธภัณฑ์สงครามโลกครั้งที่|2
องค์การพิพิธภัณฑ์วิทยาศาสตร์แห่งชาติิ|0
องค์การระหว่างประเทศว่าด้วยการมาตรฐาน|47
เกลียดตัวกินไข่เกลียดปลาไหลกินน้ำแกง|0
